method,t,median,q1,q3,coverage
mde,149.137758107251,7.6923076923076925,3.5968067651142244,24.360643282951216,1.0
mde,177.61147519657962,7.6923076923076925,3.5424316605467157,23.72759647665272,1.0
mde,211.52145856195136,7.6923076923076925,3.326410728060286,23.42343327163103,1.0
mde,251.90561241978202,7.6923076923076925,3.2700409422654717,21.854397139345174,1.0
mde,300.0000000000001,7.6923076923076925,3.2700409422654717,21.189518381942115,1.0
pso,0.01,44.86823730193019,32.21856513165527,58.63385275194766,0.9552238805970149
pso,0.01190922255039211,43.24561403508772,32.657657657657666,58.00180831826401,0.9701492537313433
pso,0.014182958175476787,43.65942028985508,31.137387387387385,55.56057866184448,0.9701492537313433
pso,0.016890800533465627,42.50951958687601,30.23694056960186,54.539991101926006,0.9850746268656716
pso,0.020115630260732383,41.76022866177891,29.699288796444627,53.14320876029737,0.9850746268656716
pso,0.0239561517516464,40.806661567936715,28.9407776979127,52.40918370949884,0.9850746268656716
pso,0.028529914266132276,40.43039847347116,28.67285386100658,52.426617461242216,0.9850746268656716
pso,0.03397690983389759,39.918613454466794,27.731618626015177,51.97001394700139,0.9850746268656716
pso,0.04046385807864926,39.57963461097668,27.426414724407515,51.859445184249225,0.9850746268656716
pso,0.04818930911061157,38.91955835962145,27.176640697088175,50.62761506276151,1.0
pso,0.05738972067479109,37.7906976744186,26.492047153395582,50.424904350808696,1.0
pso,0.06834669556209264,37.173913043478265,26.227732306210882,49.90411436541144,1.0
pso,0.0813956008032858,36.53530377668309,25.588063047988758,48.9452580195258,1.0
pso,0.09693583245892048,36.03678929765886,24.937434189695672,48.76220362622036,1.0
pso,0.11544304018608072,35.953177257525084,24.520988424749827,47.68045982229553,1.0
pso,0.13748368574698944,35.20066889632107,24.05285466871615,46.841590563453806,1.0
pso,0.16373238106090687,34.69899665551839,23.086935925027223,45.97280334728033,1.0
pso,0.19499253647599463,34.40065681444992,22.66248638846256,45.085781055400844,1.0
pso,0.232220951255807,33.83280757097792,22.372764555600376,43.85727457019056,1.0
pso,0.2765570989369163,33.31550802139037,21.781008913368147,43.582831550844645,1.0
pso,0.3293580039130544,32.72870662460568,20.926503858118206,43.23865352452522,1.0
pso,0.39223977673534804,31.52173913043478,20.14099301094817,43.23865352452522,1.0
pso,0.46712707942573733,31.52173913043478,19.91665151698784,41.92079994043033,1.0
pso,0.5563120348195794,31.061872909698998,19.63511998545631,41.31747887439495,1.0
pso,0.6625243830127855,30.602006688963215,19.044282511210763,40.67485085908928,1.0
pso,0.7890150322360485,30.142140468227424,18.3197745179681,40.49552875543523,1.0
pso,0.9396555614503901,29.214402618657935,18.231971362035452,40.05917220444663,1.0
pso,1.1190567202026338,29.173486088379704,17.610125338970384,39.34031938005893,1.0
pso,1.3327095527405048,28.96019496344435,17.585249717079837,39.023135491077994,1.0
pso,1.5871534658620194,28.595317725752505,17.217987316635707,38.18550283681689,1.0
pso,1.8901763846576944,28.11514195583596,16.56082199426471,36.98998551881185,1.0
pso,2.251053122438406,27.365930599369086,15.619031048215597,36.89786905710325,1.0
pso,2.6808292607874016,27.365930599369086,15.277694913297022,36.302252415243515,1.0
pso,3.192659228632032,26.735015772870664,14.692185184472372,36.03214605449354,1.0
pso,3.802208928134209,26.498422712933756,14.055146564474922,35.54874307403422,1.0
pso,4.528135230823811,26.498422712933756,13.755294473578056,34.922060197630906,1.0
pso,5.3926570202151884,25.985804416403788,13.226810501488613,34.322022678456186,1.0
pso,6.422235259167707,25.433753943217667,13.086044735722847,33.98706530939406,1.0
pso,7.648382897240333,25.16366612111293,13.000207825851602,33.65277388304498,1.0
pso,9.108629407384788,24.754500818330605,12.900983064609676,33.41324781587007,1.0
pso,10.847669474159156,24.754500818330605,12.379267679696863,32.95752075447649,1.0
pso,12.91873099208564,23.895253682487727,12.045582729484817,32.69076884687779,1.0
pso,15.385204245339567,23.85646687697161,11.649847272164868,32.55374083226147,1.0
pso,18.322582134098628,23.240589198036005,11.196033356100843,32.508064827389354,1.0
pso,21.82077083328191,23.240589198036005,11.196033356100843,31.241372310190823,1.0
pso,25.98684160746592,22.382869692532942,11.004658844158095,30.550649614291515,1.0
pso,30.948308008510093,22.071742313323572,10.80122870033729,30.133982947624848,1.0
pso,36.85702876314293,21.650805270863835,10.422866371262373,29.96650426309379,1.0
pso,43.89385580864722,21.559297218155198,10.376142175429585,29.844701583434837,1.0
pso,52.27416974200008,21.214511041009466,10.150916950204362,29.844701583434837,1.0
pso,62.25447210944526,21.13564668769716,9.665901258258398,29.41740412979351,1.0
pso,74.14023631085618,20.977917981072554,9.46651038877025,28.820570999464643,1.0
pso,88.29525741646478,19.9442119944212,9.300836109932458,28.451839436042814,1.0
pso,105.1527870716838,19.525801952580196,9.157846213763964,28.41496627970063,1.0
